input,level,output
0,"31,30815","79,946923"
0,0,"25,04652"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
"9,2752692","7,4202154",0
"2,6314926","9,5254094",0
0,"9,5254094",0
0,"9,5254094",0
0,"9,5254094",0
0,"9,5254094",0
0,"9,5254094",0
0,"9,5254094",0
0,"9,5254094",0
"37,793422","39,760147",0
"100,03497","119,78812",0
"122,02864","217,41103",0
"127,99","319,80303",0
"127,99","422,19503",0
"80,624741","486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
0,"486,69482",0
"9,7822101","494,52059",0
"3,6306495","497,42511",0
"14,049825","508,66497",0
"25,066032","528,7178",0
"41,400381","561,8381",0
"13,891361","572,95119",0
0,"572,95119",0
0,"572,95119",0
0,"572,95119",0
0,"572,95119",0
"69,503717","628,55416",0
"125,57444","729,01372",0
"127,99","831,40572",0
"97,621118","909,50261",0
"3,4217378","912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"911,72113","0,4150993"
0,"911,72113",0
0,"911,72113",0
0,"911,72113",0
0,"911,72113",0
0,"911,72113",0
0,"911,72113",0
0,"911,72113",0
0,"911,72113",0
0,"911,72113",0
0,"911,72113",0
"0,64859265","912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"828,29543","67,155658"
0,"668,30793","127,99"
0,"508,32043","127,99"
0,"348,33293","127,99"
0,"198,36092","119,97761"
0,"78,430505","95,944328"
0,0,"62,744404"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
"58,696941","46,957553",0
"127,00426","148,56096",0
"127,99","250,95296",0
"127,99","353,34496",0
"33,812673","380,3951",0
"75,505582","440,79956",0
0,"440,79956",0
0,"440,79956",0
0,"440,79956",0
0,"440,79956",0
0,"440,79956",0
0,"440,79956",0
0,"440,79956",0
0,"440,79956",0
0,"440,79956",0
0,"440,79956",0
0,"440,79956",0
0,"440,79956",0
0,"440,79956",0
0,"440,79956",0
0,"440,79956",0
0,"440,79956",0
0,"440,79956",0
0,"440,79956",0
"93,563179","515,65011",0
"127,99","618,04211",0
"127,99","720,43411",0
"111,76737","809,848",0
"127,99","912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"821,44896","72,632836"
0,"821,44896",0
0,"821,44896",0
0,"821,44896",0
"20,037728","837,47914",0
"51,520619","878,69563",0
"33,254518","905,29925",0
"8,6759408","912,24",0
0,"912,24",0
0,"912,24",0
0,"839,39845","58,273243"
0,"735,69378","82,963735"
0,"688,84411","37,479734"
0,"688,84411",0
0,"688,84411",0
0,"688,84411",0
0,"688,84411",0
0,"688,84411",0
0,"688,84411",0
0,"688,84411",0
0,"688,84411",0
0,"688,84411",0
0,"688,84411",0
0,"616,7731","57,656808"
0,"596,48098","16,233693"
0,"596,48098",0
0,"596,48098",0
"68,747811","651,47923",0
"127,99","753,87123",0
"127,99","856,26323",0
"69,97096","912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"826,59364","68,517092"
0,"666,60614","127,99"
0,"506,61864","127,99"
0,"398,04253","86,860888"
0,"339,66334","46,703351"
0,"290,63091","39,22594"
0,"290,63091",0
0,"290,63091",0
0,"290,63091",0
0,"290,63091",0
0,"290,63091",0
0,"290,63091",0
0,"290,63091",0
0,"159,9875","104,51473"
0,0,"127,99"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
"50,792831","40,634265",0
"29,790865","64,466957",0
0,"64,466957",0
0,"64,466957",0
0,"64,466957",0
0,"59,666143","3,8406514"
0,"59,666143",0
0,"59,666143",0
"112,47141","149,64327",0
"127,99","252,03527",0
"127,99","354,42727",0
"127,99","456,81927",0
"25,171538","476,9565",0
0,"476,9565",0
0,"413,72788","50,582901"
0,"271,75001","113,58229"
0,"111,76251","127,99"
0,"23,465608","70,637523"
0,0,"18,772486"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
"71,989937","57,591949",0
"79,362243","121,08174",0
0,"121,08174",0
0,"121,08174",0
0,"121,08174",0
0,"35,478208","68,482829"
0,0,"28,382566"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
"17,070493","13,656394",0
"127,99","116,04839",0
"127,99","218,44039",0
"127,99","320,83239",0
"127,99","423,22439",0
"127,99","525,61639",0
"127,99","628,00839",0
"127,99","730,40039",0
"127,99","832,79239",0
"2,1823641","834,53829",0
0,"834,53829",0
0,"834,53829",0
0,"834,53829",0
0,"834,53829",0
0,"834,53829",0
0,"834,53829",0
0,"834,53829",0
0,"834,53829",0
0,"834,53829",0
0,"834,53829",0
0,"834,53829",0
0,"834,53829",0
"0,9492221","835,29766",0
0,"835,29766",0
0,"835,29766",0
0,"835,29766",0
0,"835,29766",0
0,"835,29766",0
"15,642589","847,81173",0
"80,535332","912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"791,01096","96,983233"
0,"631,02346","127,99"
0,"471,03596","127,99"
0,"311,04846","127,99"
0,"213,67252","77,900754"
0,"143,28931","56,306563"
0,"143,28931",0
"37,312606","173,1394",0
"49,642392","212,85331",0
"49,970349","252,82959",0
"46,552946","290,07195",0
"48,297372","328,70984",0
0,"328,70984",0
0,"184,7216","115,19059"
0,"64,309531","96,329658"
0,"64,309531",0
